id (leave this blank),product,description ,category,stock,cost (no $),image (leave blank for now. save a copy of images in a folder titled after the catagory of your products!),rating
,MASSCOOL 8W553B1M3 CPU Cooler ,"Step up from your stock cooling fan and heatsink 
to the MassCool 8W553B1M3. Designed for use with value-driven Intel 
processors including Core 2 Extreme, Core 2 Quad, Core 2 Duo, Pentium D 
as well as Celeron D. The aluminum base and heatsink provide the cooling
 performance you need to keep your desktop running at its peak.<br /><br />
                   
 A long-life, ball bearing 90mm fan quickly draws 
heat away from the cooler's fins at a lively 2,400rpm. The standard 
3-pin connector delivers broad compatibility to your motherboard. Keep 
your CPU frosty in the hottest action with the Masscool 8W553B1M3!<br /><br />
                    
<strong>Excellent Cooling Performance</strong><br />
 The extruded aluminum fins optimize heat dissipation and the 90mm, 
2400RPM ball bearing fan delivers an air flow of up to 41.15 CFM for 
supreme cooling performance.<br /><br />
                            
<strong>LGA 775 Compatible</strong><br />
Compatible with the LGA 775 platform, the Masscool 8W553B1M3 supports a
 wide range of Celeron, Pentium 4, Pentium D and the latest Core 2 Duo 
CPUs.<br /><br />
                            
                        ",Heatsink,7,10.99,img/products/heatsink/masscool-8w553b1m3.jpg,
,ZALMAN CNPS9500A-LED CPU Cooler ,"For the PC-enthusiast who wants a desktop that 
looks sizzling hot, yet stays remarkably cool, check out the Zalman 
CNP9500 LED CPU Cooler featuring a fan and heatsink!   This hi-tech 
cooling device gives your PC mesmerizing appeal with its gleaming copper
 finish and an eye-catching indigo blue LED light.<br /><br />

The copper heatsink saves space with an 
architecturally sound 3-pipe system that effortlessly whisks heat away 
with the help of the adjustable fan’s 92mm blades and 2 ball bearings. A
 FAN MATE 2 controller and cable are included with your durable Zalman 
CPU Cooler, allowing you to switch between an 18 dB/1350 RPM ‘Silent’ 
mode and a 27 dB/2600 RPM ‘Low Noise’ mode. For ultra-cool protection 
and aggressive styling, this device is the way to go.<br /><br />
                    
<strong>Unique Heatpipe Design</strong><br />
 Three innovative and curved heatpipes provide a heat transfer capacity 
matching that of six heatpipe designs for maximum performance.<br /><br />
                            
<strong>Aerodynamically Optimized Heatsink Layout and Ultra-Slim Fins</strong><br />
 A 100% copper heatsink with an aerodynamically optimized ""tunnel"" 
design and 0.2mm ultra-slim fins maximize heatsink efficiency with 
minimal weight and smoother airflow for optimum cooling.<br /><br />
                            
<strong>Adjustable Fan Speed Controller</strong><br />
 The bundled adjustable fan speed controller (FAN MATE 2) enables manual
 fan speed adjustment ranging from 1,350rpm to 2600rpm and provides a 
silent mode and low-noise mode for an optimum balance between silence 
and performance.<br /><br />

<strong>Blue LED Lighting </strong><br />
The ultra-quiet 92mm fan features blue LEDs for eye-catching fun.<br /><br />
                            
<strong>Universal Socket Compatibility</strong><br />
 As an all-in-one solution for PC systems, the Zalman CNPS9500 LED 
features broad compatibility with all AMD socket 
AM3/AM2+/AM2/754/939/940 and Intel 775, 1155, and 1156 platforms.<br /><br />
",Heatsink,18,41.99,img/products/heatsink/zalman-cnps9500a-led.jpg,
,XIGMATEK Dark Knight II SD1283 Night Hawk Edition CPU Cooler,"The Xigmatek Stealth series
coolers make
use of advanced ceramic materials originally pioneered in the high-tech
aerospace and automotive industries. The ceramic coating features high
strength
and light weight and is specially formulated for
maximum thermal
conductivity making
it well suited for use in extreme temperature environments.<br /><br />

<strong>Xigmatek Dark Knight SD1283
Nighthawk
Edition</strong><br />

The Xigmatek Dark Knight SD1283
is the
world's first enthusiast cooler to utilize a modern ceramic coating and
was the
result of Xigmatek thermal engineers thinking outside the box.  Xigmatek's
innovative
use of this space age material is not just for good looks - the ceramic
coating
along with Xigmatek's patented HDT
technology greatly
increases the efficiency of thermal transfer away from your CPU.<br /><br />

-High Thermal Conductivity<br />
The
increased thermal conductivity of the ceramic coating rapidly absorbs
and
removes heat from the CPU via the heatpipes.<br /><br />

-Increased Cooling Area<br />
Traditional aluminum fins are not as effective conducting heat at the
outer
edges. The ceramic coating allows heat to rapidly spread over the
entire
surface of the cooling fins, reducing thermal hotspots and increasing
the
cooling area.<br /><br />

-HDT<br />
Xigmatek's use of superior grade copper for the patented Heatpipe
Direct Touch technology places the performance enhanced heatpipe
directly against the hot CPU, increasing the effectiveness of removing
heat
from the source.<br /><br />


<strong>Features</strong><br /><br />

-Advanced
ceramic
material coating for dramatic thermal dissipation performance<br /><br />

-Matte
black design
creates a uniquely stealthy look and feel<br /><br />

-Utilizes
Xigmatek's patented HDT (Heatpipe
Direct Touch) Technology and superior grade copper material heatpipes<br /><br />

-160mm
side cooling
tower configuration<br /><br />

-Ultra-slim
profile
capable of mounting single (push) or dual (push-pull)120mm fan
configurations; works with the majority of current motherboard designs<br /><br />

-Includes
Xigmatek's Universal Mounting Kit
compatible
with Intel LGA Socket 755, 1155, 1156, 2011 and AMD Socket K8 / AM2 /
AM3<br /><br />

<strong>Performance As Good
As It Looks</strong><br />

The Dark Knight SD1283 features
a high-tech
and stealthy matte black ceramic finish and is mated with a matching
smoke black
fan, giving it a unique presence. The effectiveness of the ceramic
coating
allows for reduced width fins resulting in an ultra-slim profile
 making the Dark Knight
SD1283 well suited for either single or dual fan (push - pull)
configurations
that easily fits within the physical constraints of modern motherboard
designs.<br /><br />

Performance testing between the
similar Dark
Knight SD1283 (ceramic) and GAIA SD1283 (non-ceramic) coolers indicates
a
performance increase of of up to 10% under
stock and
overclocked CPU speeds. ",Heatsink,16,49.99,img/products/heatsink/xigmatek-dark-knight-ii-sd1283-night-hawk-edition.jpg,
,CORSAIR Hydro series H50 High Performance Liquid CPU Cooler,"Your PC will run cooler and quieter when you replace your CPU’s standard heatsink with a Hydro Series H50. Installation is straightforward. If you can get to the back of your PC’s motherboard, you can install H50. All you’ll need is a screwdriver and you'll be up and running in minutes. Maintenance is minimal thanks to closed-loop architecture and pre-filled coolant, which also deliver unmatched durability and reliability for worry-free use for years to come.",Water / Liquid Cooling,10,59.99,img/products/liquid/h50.jpg,
,CORSAIR Hydro Series H60 (CW-9060007-WW) Water Cooler,"Say goodbye to a stock air cooler, and upgrade from your bulky air cooler to the efficiency and simplicity of liquid CPU cooling. Enjoy better cooling performance and lower noise, and protect your investment in your CPU with the CORSAIR Hydro Series H60 water cooler. Installation is straightforward. If you can get to the back of your PC’s motherboard, you can install H60. All you’ll need is a screwdriver and you'll be up and running in minutes. Maintenance is minimal thanks to closed-loop architecture and pre-filled coolant, which also deliver unmatched durability and reliability for worry-free use for years to come.",Water / Liquid Cooling,5,69.99,img/products/liquid/h60.jpg,
,Thermaltake Water 3.0 Pro (CLW0223) Water Cooler,"For a liquid cooler, enthusiasts not only looking for an easy and clean setup to efficiently calm the roaring CPU, more likely they also crave for the best low-maintenance solution. The new Thermaltake All-In-One LCS Water 3.0 Series is formed to support these desires of enthusiasts. Upgrade the simplicity of liquid CPU cooling to enjoy better cooling performance and protect the investment in the CPU as well.",Water / Liquid Cooling,12,89.99,img/products/liquid/thermaltake.jpg,
,Antec Kuhler H2O 620 Liquid Cooling System,"The Antec KÜHLER H2O 620 delivers high-performance liquid cooling for your CPU in a quick, easy-to-install package. Unlike traditional liquid cooling systems, this self-contained unit comes pre-filled and requires no maintenance. The voltage-controlled 120mm fan and 3rd generation copper coldplate ensure efficient cooling, while the estimated 50,000 hour pump lifetime means this cooler is even likely to outlast the system it cools. Lastly, easy-bend flexible tubing allows the KÜHLER H2O 620 to be installed in nearly any orientation. Take your PC's Quiet Computing to the next level with liquid cooling performance at a price that rivals aftermarket air coolers.",Water / Liquid Cooling,16,57.99,img/products/liquid/620.jpg,
,CORSAIR Hydro Series H100i Water Cooler,"Say goodbye to a stock air cooler, and upgrade from your bulky air cooler to the efficiency and simplicity of liquid CPU cooling. Enjoy better cooling performance and lower noise, and protect your investment in your CPU with the CORSAIR Hydro Series H100i water cooler, which combines efficient cooling, simple installation, and intuitive management into an all-in-one solution. 240mm top-mounted radiator features twice the surface area of the H80i for even better performance, while 2x 120mm fans delivers efficient cooling at whisper quietness. Corsair Link allows you to monitor temperature and control lighting and fan speed on your screen. Quick and easy magnetic installation brackets make it easier than ever to upgrade to water cooling. Maintenance is minimal thanks to closed-loop architecture and pre-filled coolant, which also deliver unmatched durability and reliability for worry-free use for years to come.",Water / Liquid Cooling,57,109.99,img/products/liquid/h100.jpg,
,Antec KUHLER H2O 920 Liquid Cooling System,"The Antec KÜHLER H2O 920 provides maximum-performance liquid cooling for your CPU in a quick, easy-to-install package. Unlike traditional liquid cooling systems, this self-contained unit comes prefilled and requires zero maintenance. The dual 120 mm Pulse Width Modulation (PWM) fans and 3rd generation copper coldplate ensure quiet, efficient cooling, while the 49 mm thick radiator is equipped to handle the highest performing CPUs on the market. Lastly, the included software helps you monitor and control the KÜHLER H2O 920's performance and allows you to customize its stylish RGB LED. Designed to unlock the maximum potential of your CPU, the Antec KÜHLER H2O 920 delivers exceptional cooling when you need it the most.",Water / Liquid Cooling,56,116.99,img/products/liquid/920.jpg,
,Enzotech HF-G1/4-38 Water Cooling Accessory,High Flow Fitting ,Water / Liquid Cooling,102,4.49,img/products/liquid/hf.jpg,
,"Enzotech BRCPS-G1/4-12-90 ID 1/2"" Thread G1/4"" Matt Black","Enzotech premium 90 degree rotary fitting is compatible with 1/2"" ID tubing and G1/4"" thread type.",Water / Liquid Cooling,36,8.99,img/products/liquid/brcps.jpg,
,"Enzotech BHF-G1/4-38 ID 3/8"" Thread G1/4"", Matt Black","Thread Type: G1/4""",Water / Liquid Cooling,54,4.99,img/products/liquid/bhf.jpg,
,NZXT Kraken X60 RL-KRX60-01 280mm Ultra Performance Liquid CPU Cooler,"NZXT Kraken series is the first premium all-in-one water coolers to provide both ease of use and functionality for PC enthusiasts. Kraken series X60 delivers unrivaled cooling performance with the included two NZXT FX-140 PWM fans and can offer upgraded cooling with the capacity to install an additional 2 more fans in a push-pull configuration. At the core of the cooler is a state-of-the-art pump attached to an all copper base. Bridging the 280mm radiator and pump is an extra-long 16” tubing and premium sleeved cables, easily installed into even in the largest chassis. It is the best closed loop water coolers on the market, you should not settle for anything less.",Water / Liquid Cooling,36,109.99,img/products/liquid/kraken.jpg,
